house,number,floor,section,area,rooms
139/1,1,2,1,52.5,2
139/1,2,2,1,41.2,1
139/1,3,2,1,88.2,3
139/1,4,2,1,40.8,1
139/1,5,2,1,55.3,2
139/1,6,3,1,52.6,2
139/1,7,3,1,40.4,1
139/1,8,3,1,88.2,3
139/1,9,3,1,40.4,1
139/1,10,3,1,55.0,2
139/1,11,4,1,51.8,1
139/1,12,4,1,41.0,1
139/1,13,4,1,87.6,3
139/1,14,4,1,40.4,1
139/1,15,4,1,55.1,2
139/1,16,5,1,52.5,2
139/1,17,5,1,40.5,1
139/1,18,5,1,88.8,3
139/1,19,5,1,41.0,1
139/1,20,5,1,55.4,2
139/1,21,6,1,52.6,2
139/1,22,6,1,41.3,1
139/1,23,6,1,88.6,3
139/1,24,6,1,40.6,1
139/1,25,6,1,55.5,2
139/1,26,7,1,52.3,2
139/1,27,7,1,40.7,1
139/1,28,7,1,88.7,3
139/1,29,7,1,41.2,1
139/1,30,7,1,55.0,2
139/1,31,8,1,51.9,1
139/1,32,8,1,41.1,1
139/1,33,8,1,89.6,3
139/1,34,8,1,40.7,1
139/1,35,8,1,54.8,2
139/1,36,9,1,52.5,2
139/1,37,9,1,41.7,1
139/1,38,9,1,88.3,3
139/1,39,9,1,41.4,1
139/1,40,9,1,55.3,2
139/1,41,10,1,52.1,2
139/1,42,10,1,41.0,1
139/1,43,10,1,88.3,3
139/1,44,10,1,40.8,1
139/1,45,10,1,55.3,2
139/1,46,11,1,52.8,2
139/1,47,11,1,41.4,1
139/1,48,11,1,89.0,3
139/1,49,11,1,40.7,1
139/1,50,11,1,55.4,2
139/1,51,12,1,52.0,2
139/1,52,12,1,41.2,1
139/1,53,12,1,90.3,3
139/1,54,12,1,41.1,1
139/1,55,12,1,55.1,2
139/1,56,13,1,52.8,2
139/1,57,13,1,41.3,1
139/1,58,13,1,89.2,3
139/1,59,13,1,40.7,1
139/1,60,13,1,55.5,2
139/1,61,14,1,51.9,1
139/1,62,14,1,40.8,1
139/1,63,14,1,89.2,3
139/1,64,14,1,40.7,1
139/1,65,14,1,55.0,2
139/1,66,2,2,60.3,2
139/1,67,2,2,35.5,1
139/1,68,2,2,34.9,1
139/1,69,2,2,58.3,2
139/1,70,3,2,60.4,2
139/1,71,3,2,35.6,1
139/1,72,3,2,35.3,1
139/1,73,3,2,58.2,2
139/1,74,4,2,60.9,2
139/1,75,4,2,35.9,1
139/1,76,4,2,35.0,1
139/1,77,4,2,58.1,2
139/1,78,5,2,60.5,2
139/1,79,5,2,35.4,1
139/1,80,5,2,34.4,1
139/1,81,5,2,57.9,2
139/1,82,6,2,60.4,2
139/1,83,6,2,35.5,1
139/1,84,6,2,34.6,1
139/1,85,6,2,58.2,2
139/1,86,7,2,60.1,2
139/1,87,7,2,35.2,1
139/1,88,7,2,34.5,1
139/1,89,7,2,58.0,2
139/1,90,8,2,60.4,2
139/1,91,8,2,35.2,1
139/1,92,8,2,34.8,1
139/1,93,8,2,58.0,2
139/1,94,9,2,60.0,2
139/1,95,9,2,35.7,1
139/1,96,9,2,35.1,1
139/1,97,9,2,58.2,2
139/1,98,10,2,60.7,2
139/1,99,10,2,35.7,1
139/1,100,10,2,34.8,1
139/1,101,10,2,58.6,2
